id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2601.17073v1,Attention-Based Variational Framework for Joint and Individual Components Learning with Applications in Brain Network Analysis,"['Yifei Zhang', 'Meimei Liu', 'Zhengwu Zhang']","Brain organization is increasingly characterized through multiple imaging modalities, most notably structural connectivity (SC) and functional connectivity (FC). Integrating these inherently distinct yet complementary data sources is essential for uncovering the cross-modal patterns that drive behavioral phenotypes. However, effective integration is hindered by the high dimensionality and non-linearity of connectome data, complex non-linear SC-FC coupling, and the challenge of disentangling shared information from modality-specific variations. To address these issues, we propose the Cross-Modal Joint-Individual Variational Network (CM-JIVNet), a unified probabilistic framework designed to learn factorized latent representations from paired SC-FC datasets. Our model utilizes a multi-head attention fusion module to capture non-linear cross-modal dependencies while isolating independent, modality-specific signals. Validated on Human Connectome Project Young Adult (HCP-YA) data, CM-JIVNet demonstrates superior performance in cross-modal reconstruction and behavioral trait prediction. By effectively disentangling joint and individual feature spaces, CM-JIVNet provides a robust, interpretable, and scalable solution for large-scale multimodal brain analysis.","['cs.LG', 'cs.CV', 'stat.ML']",2026-01-23T00:28:43+00:00,https://arxiv.org/pdf/2601.17073v1,arxiv://2601.17073v1,12,30
2512.24901v1,Spectral Graph Neural Networks for Cognitive Task Classification in fMRI Connectomes,"['Debasis Maji', 'Arghya Banerjee', 'Debaditya Barman']","Cognitive task classification using machine learning plays a central role in decoding brain states from neuroimaging data. By integrating machine learning with brain network analysis, complex connectivity patterns can be extracted from functional magnetic resonance imaging connectomes. This process transforms raw blood-oxygen-level-dependent (BOLD) signals into interpretable representations of cognitive processes. Graph neural networks (GNNs) further advance this paradigm by modeling brain regions as nodes and functional connections as edges, capturing topological dependencies and multi-scale interactions that are often missed by conventional approaches. Our proposed SpectralBrainGNN model, a spectral convolution framework based on graph Fourier transforms (GFT) computed via normalized Laplacian eigendecomposition. Experiments on the Human Connectome Project-Task (HCPTask) dataset demonstrate the effectiveness of the proposed approach, achieving a classification accuracy of 96.25\%. The implementation is publicly available at https://github.com/gnnplayground/SpectralBrainGNN to support reproducibility and future research.",['cs.LG'],2025-12-31T14:54:06+00:00,https://arxiv.org/pdf/2512.24901v1,arxiv://2512.24901v1,13,30
2512.08756v1,Genetic Regression Analysis of Human Brain Connectivity Using an Efficient Estimator of Genetic Covariance,"['Keshav Motwani', 'Ali Shojaie', 'Ariel Rokem', 'Eardi Lila']","Non-invasive measurements of the human brain using magnetic resonance imaging (MRI) have significantly improved our understanding the brain's network organization by enabling measurement of anatomical connections between brain regions (structural connectivity) and their coactivation (functional connectivity). Heritability analyses have established that genetics account for considerable intersubject variability in structural and functional connectivity. However, characterizing how genetics shape the relationship between structural and functional connectomes remains challenging, since this association is obscured by unique environmental exposures in observed data. To address this, we develop a regression analysis framework that enables characterization of the relationship between latent genetic contributions to structural and functional connectivity. Implementing the proposed framework requires estimating genetic covariance matrices in multivariate random effects models, which is computationally intractable for high-dimensional connectome data using existing methods. We introduce a constrained method-of-moments estimator that is several orders of magnitude faster than existing methods without sacrificing estimation accuracy. For the genetic regression analysis, we develop regularized estimation approaches, including ridge, lasso, and tensor regression. Applying our method to Human Connectome Project data, we find that functional connectivity is moderately predictable from structure at the genetic level (max R^2 = 0.34), though it is not directly predictable in the observed data (max R^2 = 0.03). This stark contrast suggests that unique environmental factors mask strong genetically-encoded structure-function relationships.",['stat.AP'],2025-12-09T16:06:38+00:00,https://arxiv.org/pdf/2512.08756v1,arxiv://2512.08756v1,14,30
2511.14922v1,Integrating Causal Inference with Graph Neural Networks for Alzheimer's Disease Analysis,"['Pranay Kumar Peddi', 'Dhrubajyoti Ghosh']","Deep graph learning has advanced Alzheimer's (AD) disease classification from MRI, but most models remain correlational, confounding demographic and genetic factors with disease specific features. We present Causal-GCN, an interventional graph convolutional framework that integrates do-calculus-based back-door adjustment to identify brain regions exerting stable causal influence on AD progression. Each subject's MRI is represented as a structural connectome where nodes denote cortical and subcortical regions and edges encode anatomical connectivity. Confounders such as age, sec, and APOE4 genotype are summarized via principal components and included in the causal adjustment set. After training, interventions on individual regions are simulated by serving their incoming edges and altering node features to estimate average causal effects on disease probability. Applied to 484 subjects from the ADNI cohort, Causal-GCN achieves performance comparable to baseline GNNs while providing interpretable causal effect rankings that highlight posterior, cingulate, and insular hubs consistent with established AD neuropathology.","['cs.LG', 'stat.ME']",2025-11-18T21:22:24+00:00,https://arxiv.org/pdf/2511.14922v1,arxiv://2511.14922v1,15,30
2511.07344v1,Higher-Order Interactions in Brain Connectomics: Implicit versus Explicit Modeling Approaches,"['Mohamma Reza Salehi', 'Ali BashirGonbadi', 'Hamid Soltanian-Zadeh']","The human brain is a complex system defined by multi-way, higher-order interactions invisible to traditional pairwise network models. Although a diverse array of analytical methods has been developed to address this shortcoming, the field remains fragmented, lacking a unifying conceptual framework that integrates and organizes the rapidly expanding methodological landscape of higher-order brain connectivity. This review provides a synthesis of the methodologies for studying higher-order brain connectivity. We propose a fundamental distinction between implicit paradigms, which quantify the statistical strength of group interactions, and explicit paradigms, which construct higher-order structural representations like hypergraphs and topological data analysis. We trace the evolution of each approach, from early Correlation-of-Correlations and information-theoretic concepts of synergy/redundancy, to the edge-centric paradigm and advanced topological methods. Through a critical analysis of conceptual, statistical, and computational challenges, we argue that the future of the field lies not in a single best method, but in a principled integration of these complementary approaches. This manuscript aims to provide a unified map and a critical perspective to guide researchers toward a robust and insightful understanding of the brain's complex, multi-level architecture.",['q-bio.QM'],2025-11-10T17:45:30+00:00,https://arxiv.org/pdf/2511.07344v1,arxiv://2511.07344v1,16,30
2511.05630v1,BrainCSD: A Hierarchical Consistency-Driven MoE Foundation Model for Unified Connectome Synthesis and Multitask Brain Trait Prediction,"['Xiongri Shen', 'Jiaqi Wang', 'Yi Zhong', 'Zhenxi Song', 'Leilei Zhao', 'Liling Li', 'Yichen Wei', 'Lingyan Liang', 'Shuqiang Wang', 'Baiying Lei', 'Demao Deng', 'Zhiguo Zhang']","Functional and structural connectivity (FC/SC) are key multimodal biomarkers for brain analysis, yet their clinical utility is hindered by costly acquisition, complex preprocessing, and frequent missing modalities. Existing foundation models either process single modalities or lack explicit mechanisms for cross-modal and cross-scale consistency. We propose BrainCSD, a hierarchical mixture-of-experts (MoE) foundation model that jointly synthesizes FC/SC biomarkers and supports downstream decoding tasks (diagnosis and prediction). BrainCSD features three neuroanatomically grounded components: (1) a ROI-specific MoE that aligns regional activations from canonical networks (e.g., DMN, FPN) with a global atlas via contrastive consistency; (2) a Encoding-Activation MOE that models dynamic cross-time/gradient dependencies in fMRI/dMRI; and (3) a network-aware refinement MoE that enforces structural priors and symmetry at individual and population levels. Evaluated on the datasets under complete and missing-modality settings, BrainCSD achieves SOTA results: 95.6\% accuracy for MCI vs. CN classification without FC, low synthesis error (FC RMSE: 0.038; SC RMSE: 0.006), brain age prediction (MAE: 4.04 years), and MMSE score estimation (MAE: 1.72 points). Code is available in \href{https://github.com/SXR3015/BrainCSD}{BrainCSD}","['q-bio.NC', 'cs.AI']",2025-11-07T04:40:47+00:00,https://arxiv.org/pdf/2511.05630v1,arxiv://2511.05630v1,17,30
2511.05548v1,Modeling Causal Interactions Across Brain Functional Subnetworks for Population-specific Disease Analysis,"['Alissen Moreno', 'Yingying Zhang', 'Qi Huang', 'Fabian Vazquez', 'Jose A. Nunez', 'Erik Enriquez', 'Dongchul Kim', 'Kaixiong Zhou', 'Hongchang Gao', 'Pengfei Gu', 'Liang Zhan', 'Haoteng Tang']","Current neuroimaging studies on neurodegenerative diseases and psychological risk factors have been developed predominantly in non Hispanic White cohorts, with other populations markedly underrepresented. In this work, we construct directed hyper connectomes among large scale functional brain systems based on causal influences between brain regions, and examine their links to Alzheimer Disease progression and worry levels across racial groups. By using Health and Aging Brain Study Health Disparities (HABS HD) dataset, our experimental results suggest that neglecting racial variation in brain network architecture may reduce predictive performance in both cognitive and affective phenotypes. Important shared and population-specific hyper-connectome patterns related to both AD progression and worry levels were identified. We further observed distinct closed loop directed circuits across groups, suggesting that different populations may rely on distinct feedback based network regulation strategies when supporting cognition or managing emotional states. Together, these results indicate a common backbone of network vulnerability with population-dependent variations in regulatory coordination, underscoring the importance of population-aware neuroimaging models.","['q-bio.NC', 'stat.AP']",2025-11-02T04:04:19+00:00,https://arxiv.org/pdf/2511.05548v1,arxiv://2511.05548v1,18,30
2510.03306v2,Atlas-free Brain Network Transformer,"['Shuai Huang', 'Xuan Kan', 'James J. Lah', 'Deqiang Qiu']","Current atlas-based approaches to brain network analysis rely heavily on standardized anatomical or connectivity-driven brain atlases. However, these fixed atlases often introduce significant limitations, such as spatial misalignment across individuals, functional heterogeneity within predefined regions, and atlas-selection biases, collectively undermining the reliability and interpretability of the derived brain networks. To address these challenges, we propose a novel atlas-free brain network transformer (atlas-free BNT) that leverages individualized brain parcellations derived directly from subject-specific resting-state fMRI data. Our approach computes ROI-to-voxel connectivity features in a standardized voxel-based feature space, which are subsequently processed using the BNT architecture to produce comparable subject-level embeddings. Experimental evaluations on sex classification and brain-connectome age prediction tasks demonstrate that our atlas-free BNT consistently outperforms state-of-the-art atlas-based methods, including elastic net, BrainGNN, Graphormer and the original BNT. Our atlas-free approach significantly improves the precision, robustness, and generalizability of brain network analyses. This advancement holds great potential to enhance neuroimaging biomarkers and clinical diagnostic tools for personalized precision medicine. Reproducible code is available at https://github.com/shuai-huang/atlas_free_bnt","['q-bio.NC', 'cs.AI', 'cs.LG', 'cs.NE', 'eess.IV']",2025-09-30T18:57:02+00:00,https://arxiv.org/pdf/2510.03306v2,arxiv://2510.03306v2,19,30
2509.26019v1,Structural Heterogeneity of the Drosophila Brain Network,"['Xiaoyu Zhang', 'Pengcheng Yang', 'Yifei Zhang', 'Bowei Qin', 'Qiang Luo', 'Wei Lin', 'Xin Lu']","Decoding the heterogeneity of biological neural systems is key to understanding the nervous system's complex dynamical behaviors. This study analyzes the comprehensive Drosophila brain connectome, which is the most recent data set, containing over 130,000 neurons and 50 million synapses. We conducted meticulous analyses of both network and spatial structure. Our findings reveal significant heterogeneity in network properties and distinct spatial clustering across functional regions. Besides, our analysis revealed a modular organizational pattern within the neural network, wherein regions with similar functions exhibited higher connection densities, forming distinct community structures. Moreover, we observed spatial clustering within functional regions but was not statistically significant. Additionally, we identify pervasive bilateral symmetry in network topology and spatial organization. Simulations based on the Kuramoto model demonstrate that the functional asymmetry between cerebral hemispheres arises from disparities in the intrinsic frequencies of neurons rather than from structural asymmetry within the neural network itself. Finally, we develop a 3D connectome visualization tool for detailed mapping of neuronal morphology. These insights advance our understanding of neural network organization and complexity in biological systems.",['q-bio.NC'],2025-09-30T09:48:21+00:00,https://arxiv.org/pdf/2509.26019v1,arxiv://2509.26019v1,20,30
2509.16973v1,Deep Learning Inductive Biases for fMRI Time Series Classification during Resting-state and Movie-watching,"['Behdad Khodabandehloo', 'Reza Rajimehr']","Deep learning has advanced fMRI analysis, yet it remains unclear which architectural inductive biases are most effective at capturing functional patterns in human brain activity. This issue is particularly important in small-sample settings, as most datasets fall into this category. We compare models with three major inductive biases in deep learning including convolutional neural networks (CNNs), long short-term memory networks (LSTMs), and Transformers for the task of biological sex classification. These models are evaluated within a unified pipeline using parcellated multivariate fMRI time series from the Human Connectome Project (HCP) 7-Tesla cohort, which includes four resting-state runs and four movie-watching task runs. We assess performance on Whole-brain, subcortex, and 12 functional networks. CNNs consistently achieved the highest discrimination for sex classification in both resting-state and movie-watching, while LSTM and Transformer models underperformed. Network-resolved analyses indicated that the Whole-brain, Default Mode, Cingulo-Opercular, Dorsal Attention, and Frontoparietal networks were the most discriminative. These results were largely similar between resting-state and movie-watching. Our findings indicate that, at this dataset size, discriminative information is carried by local spatial patterns and inter-regional dependencies, favoring convolutional inductive bias. Our study provides insights for selecting deep learning architectures for fMRI time series classification.","['q-bio.NC', 'cs.LG']",2025-09-21T08:11:31+00:00,https://arxiv.org/pdf/2509.16973v1,arxiv://2509.16973v1,21,30
